id,timestamp,window_start,crowd_avg,crowd_max,crowd_density_avg,adults_avg,children_avg,tourists_avg,locals_avg,tourist_index,shopping_bags_avg,suitcases_avg,backpacks_avg,umbrellas_avg,waving_avg,friendliness_idx,male_avg,female_avg,gender_unknown_avg,male_ratio,direction_balance,movement_speed_avg,speed_slow_pct,speed_fast_pct,solo_avg,group_count_avg,largest_group,brightness_avg,adult_ratio,luggage_ratio,frame_count,activity
1,2026-05-14T03:39:59.856023+00:00,2026-05-14T03:39:29.695513+00:00,4.738,7,0.038,2.654,2.085,0.0,4.738,0.0,0.031,0.0,0.0,0.0,0.115,0.023,3.177,0.062,1.446,0.978,0.152,1.122,0.308,0.023,1.362,0.708,7,111.615,0.575,0.0,130,MODERATE
2,2026-05-14T03:40:29.955272+00:00,2026-05-14T03:39:59.855969+00:00,3.228,7,0.023,1.6,1.628,0.0,3.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.089,0.022,1.094,0.955,-0.001,0.655,0.75,0.0,0.906,0.317,5,112.151,0.506,0.0,180,QUIET
3,2026-05-14T03:41:00.196457+00:00,2026-05-14T03:40:29.955210+00:00,4.708,9,0.056,3.858,0.85,0.342,4.367,0.073,0.017,0.0,0.225,0.0,0.0,0.0,4.0,0.1,0.525,0.979,0.171,1.534,0.025,0.025,1.825,0.433,5,109.766,0.819,0.05,120,MODERATE
4,2026-05-14T03:41:30.246580+00:00,2026-05-14T03:41:00.196357+00:00,4.633,7,0.039,3.367,1.267,0.0,4.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.858,0.067,0.717,0.973,0.085,0.853,0.45,0.0,1.475,0.417,5,113.494,0.737,0.0,120,MODERATE
5,2026-05-14T03:42:00.490299+00:00,2026-05-14T03:41:30.246539+00:00,4.193,9,0.02,1.208,2.984,0.0,4.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,2.161,0.964,0.014,0.407,0.885,0.0,1.911,0.375,7,112.665,0.241,0.0,192,MODERATE
6,2026-05-14T03:42:30.766709+00:00,2026-05-14T03:42:00.490171+00:00,6.295,9,0.059,4.25,2.045,0.018,6.277,0.003,0.054,0.0,0.009,0.0,0.0,0.0,4.188,0.143,2.054,0.97,0.055,0.84,0.509,0.0,0.777,0.902,7,112.832,0.686,0.001,112,MODERATE
7,2026-05-14T03:43:01.272676+00:00,2026-05-14T03:42:30.766615+00:00,9.151,13,0.096,6.688,2.462,0.011,9.14,0.001,0.0,0.0,0.011,0.0,0.0,0.0,5.28,0.43,3.495,0.923,0.014,1.365,0.0,0.0,1.409,1.43,9,113.235,0.729,0.001,93,MODERATE
8,2026-05-14T03:43:31.586514+00:00,2026-05-14T03:43:01.272585+00:00,6.325,10,0.046,3.374,2.951,0.0,6.325,0.0,0.008,0.0,0.0,0.0,0.008,0.001,3.902,0.049,2.366,0.99,-0.05,1.184,0.276,0.008,1.293,0.935,8,114.063,0.53,0.0,123,MODERATE
9,2026-05-14T03:44:01.619192+00:00,2026-05-14T03:43:31.586415+00:00,4.492,9,0.045,3.129,1.364,0.0,4.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.235,0.205,1.076,0.932,0.019,1.339,0.25,0.083,2.235,0.273,6,113.996,0.669,0.0,132,MODERATE
10,2026-05-14T03:44:31.654068+00:00,2026-05-14T03:44:01.619089+00:00,2.085,6,0.018,0.989,1.096,0.0,2.085,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.875,0.136,1.029,0.743,0.024,0.533,0.761,0.007,0.684,0.272,5,114.119,0.393,0.0,272,QUIET
11,2026-05-14T03:45:01.733273+00:00,2026-05-14T03:44:31.654007+00:00,4.967,9,0.052,3.885,1.082,0.0,4.967,0.0,0.016,0.0,0.0,0.0,0.0,0.0,3.754,0.082,1.082,0.973,0.087,1.118,0.254,0.008,1.361,0.492,6,113.5,0.788,0.0,122,MODERATE
12,2026-05-14T03:45:32.277146+00:00,2026-05-14T03:45:01.733177+00:00,7.888,12,0.058,4.918,2.969,0.51,7.378,0.056,0.041,0.163,0.071,0.0,0.0,0.0,5.133,0.143,2.633,0.973,-0.047,0.831,0.673,0.02,0.49,1.316,9,113.41,0.631,0.026,98,MODERATE
13,2026-05-14T03:46:02.559039+00:00,2026-05-14T03:45:32.277055+00:00,8.644,13,0.084,6.922,1.722,0.333,8.311,0.036,0.067,0.022,0.178,0.0,0.0,0.0,4.556,0.622,3.422,0.877,-0.051,1.382,0.033,0.0,1.456,1.144,9,113.577,0.81,0.022,90,MODERATE
