id,timestamp,window_start,crowd_avg,crowd_max,crowd_density_avg,adults_avg,children_avg,tourists_avg,locals_avg,tourist_index,shopping_bags_avg,suitcases_avg,backpacks_avg,umbrellas_avg,waving_avg,friendliness_idx,male_avg,female_avg,gender_unknown_avg,male_ratio,direction_balance,movement_speed_avg,speed_slow_pct,speed_fast_pct,solo_avg,group_count_avg,largest_group,brightness_avg,adult_ratio,luggage_ratio,frame_count,activity
1,2026-05-14T09:57:42.271618+00:00,2026-05-14T09:57:12.038724+00:00,10.889,17,0.094,8.956,1.933,0.033,10.856,0.002,0.178,0.0,0.011,0.0,0.0,0.0,5.7,0.011,5.011,0.993,0.048,0.823,0.556,0.0,1.333,1.844,12,88.752,0.826,0.001,90,MODERATE
2,2026-05-14T09:58:12.643972+00:00,2026-05-14T09:57:42.271522+00:00,13.435,17,0.129,12.054,1.38,0.022,13.413,0.002,0.054,0.0,0.011,0.0,0.0,0.0,5.293,0.25,8.011,0.958,0.149,0.948,0.402,0.0,1.337,1.837,14,88.611,0.899,0.001,92,BUSY
3,2026-05-14T09:58:42.778945+00:00,2026-05-14T09:58:12.643885+00:00,12.652,16,0.106,10.424,2.228,0.0,12.652,0.0,0.065,0.0,0.0,0.0,0.0,0.0,5.478,0.065,7.076,0.988,-0.038,0.933,0.435,0.0,1.63,1.402,12,88.747,0.83,0.0,92,BUSY
4,2026-05-14T09:59:12.855342+00:00,2026-05-14T09:58:42.778902+00:00,12.38,18,0.121,11.467,0.913,0.141,12.239,0.012,0.054,0.011,0.076,0.0,0.0,0.0,5.478,0.174,6.598,0.968,0.117,1.326,0.054,0.011,0.707,1.446,14,89.513,0.929,0.007,92,BUSY
5,2026-05-14T09:59:42.923910+00:00,2026-05-14T09:59:12.855247+00:00,9.293,12,0.08,7.957,1.337,0.054,9.239,0.005,0.043,0.0,0.054,0.0,0.0,0.0,5.033,0.239,4.207,0.956,-0.047,1.114,0.228,0.011,0.783,1.185,12,89.337,0.859,0.005,92,MODERATE
6,2026-05-14T10:00:13.180881+00:00,2026-05-14T09:59:42.923814+00:00,11.674,17,0.128,10.402,1.272,0.022,11.652,0.002,0.315,0.0,0.011,0.0,0.0,0.0,5.141,0.152,6.598,0.97,-0.06,1.368,0.054,0.011,0.793,1.609,14,89.163,0.894,0.001,92,MODERATE
7,2026-05-14T10:00:43.404330+00:00,2026-05-14T10:00:13.180778+00:00,13.283,22,0.133,11.0,2.283,0.0,13.283,0.0,0.022,0.0,0.0,0.0,0.0,0.0,5.543,0.087,7.543,0.985,-0.193,1.648,0.0,0.043,0.826,1.489,19,89.546,0.828,0.0,92,BUSY
8,2026-05-14T10:01:13.924761+00:00,2026-05-14T10:00:43.404235+00:00,13.219,21,0.103,10.115,3.104,0.219,13.0,0.013,0.042,0.021,0.135,0.0,0.0,0.0,5.25,0.062,7.906,0.986,0.026,1.057,0.25,0.0,0.615,1.365,20,89.096,0.773,0.01,96,BUSY
9,2026-05-14T10:01:43.986783+00:00,2026-05-14T10:01:13.924716+00:00,9.717,15,0.105,8.391,1.326,0.0,9.717,0.0,0.033,0.0,0.0,0.0,0.011,0.002,5.283,0.043,4.5,0.992,-0.046,1.512,0.076,0.043,1.0,1.522,11,89.275,0.876,0.0,92,MODERATE
10,2026-05-14T10:02:14.249197+00:00,2026-05-14T10:01:43.986745+00:00,10.772,15,0.105,9.967,0.804,0.011,10.761,0.001,0.043,0.0,0.011,0.0,0.0,0.0,5.62,0.022,5.12,0.996,0.01,1.126,0.207,0.011,0.739,1.511,15,90.371,0.93,0.001,92,MODERATE
11,2026-05-14T10:02:44.278621+00:00,2026-05-14T10:02:14.249108+00:00,13.656,19,0.154,11.667,1.989,0.067,13.589,0.006,0.156,0.0,0.044,0.0,0.033,0.002,5.311,0.067,8.322,0.988,-0.201,1.764,0.0,0.033,0.711,1.444,17,89.156,0.858,0.004,90,BUSY
